"species"	"contigs"	"genome_size"	"sp"	"sp_ID"
"GCF_001067735.1_ASM106773v1_genomic.fna"	"Staphylococcus_aureus"	134	2759745	"aureus"	"Staphylococcus_aureus__GCF_001067735.1_ASM106773v1_genomic.fna"
"GCF_001068125.1_ASM106812v1_genomic.fna"	"Staphylococcus_aureus"	168	2797267	"aureus"	"Staphylococcus_aureus__GCF_001068125.1_ASM106812v1_genomic.fna"
"GCF_001068155.1_ASM106815v1_genomic.fna"	"Staphylococcus_aureus"	176	2853277	"aureus"	"Staphylococcus_aureus__GCF_001068155.1_ASM106815v1_genomic.fna"
"GCF_001068235.1_ASM106823v1_genomic.fna"	"Staphylococcus_aureus"	141	2877887	"aureus"	"Staphylococcus_aureus__GCF_001068235.1_ASM106823v1_genomic.fna"
"GCF_001068255.1_ASM106825v1_genomic.fna"	"Staphylococcus_aureus"	168	2896463	"aureus"	"Staphylococcus_aureus__GCF_001068255.1_ASM106825v1_genomic.fna"
"GCF_001068265.1_ASM106826v1_genomic.fna"	"Staphylococcus_aureus"	127	2914874	"aureus"	"Staphylococcus_aureus__GCF_001068265.1_ASM106826v1_genomic.fna"
"GCF_001068315.1_ASM106831v1_genomic.fna"	"Staphylococcus_aureus"	135	2742179	"aureus"	"Staphylococcus_aureus__GCF_001068315.1_ASM106831v1_genomic.fna"
"GCF_001076165.1_ASM107616v1_genomic.fna"	"Staphylococcus_aureus"	68	2788221	"aureus"	"Staphylococcus_aureus__GCF_001076165.1_ASM107616v1_genomic.fna"
"GCF_001076515.1_ASM107651v1_genomic.fna"	"Staphylococcus_aureus"	76	2919216	"aureus"	"Staphylococcus_aureus__GCF_001076515.1_ASM107651v1_genomic.fna"
"GCF_001078665.1_ASM107866v1_genomic.fna"	"Staphylococcus_aureus"	15	2714809	"aureus"	"Staphylococcus_aureus__GCF_001078665.1_ASM107866v1_genomic.fna"
"GCF_001113025.1_8489_7_41_genomic.fna"	"Staphylococcus_aureus"	25	2952280	"aureus"	"Staphylococcus_aureus__GCF_001113025.1_8489_7_41_genomic.fna"
"GCF_001113685.1_8489_7_58_genomic.fna"	"Staphylococcus_aureus"	21	2906271	"aureus"	"Staphylococcus_aureus__GCF_001113685.1_8489_7_58_genomic.fna"
"GCF_001120725.1_8489_7_59_genomic.fna"	"Staphylococcus_aureus"	16	2906191	"aureus"	"Staphylococcus_aureus__GCF_001120725.1_8489_7_59_genomic.fna"
"GCF_001120905.1_8489_7_49_genomic.fna"	"Staphylococcus_aureus"	22	2905002	"aureus"	"Staphylococcus_aureus__GCF_001120905.1_8489_7_49_genomic.fna"
"GCF_001126325.1_8489_7_38_genomic.fna"	"Staphylococcus_aureus"	27	2953305	"aureus"	"Staphylococcus_aureus__GCF_001126325.1_8489_7_38_genomic.fna"
"GCF_001133445.1_8489_7_48_genomic.fna"	"Staphylococcus_aureus"	20	2905064	"aureus"	"Staphylococcus_aureus__GCF_001133445.1_8489_7_48_genomic.fna"
"GCF_001138445.1_8489_7_40_genomic.fna"	"Staphylococcus_aureus"	27	2951465	"aureus"	"Staphylococcus_aureus__GCF_001138445.1_8489_7_40_genomic.fna"
"GCF_001141805.1_8489_7_36_genomic.fna"	"Staphylococcus_aureus"	26	2950902	"aureus"	"Staphylococcus_aureus__GCF_001141805.1_8489_7_36_genomic.fna"
"GCF_001143805.1_8489_7_39_genomic.fna"	"Staphylococcus_aureus"	23	2950443	"aureus"	"Staphylococcus_aureus__GCF_001143805.1_8489_7_39_genomic.fna"
"GCF_001148525.1_8489_7_56_genomic.fna"	"Staphylococcus_aureus"	20	2904956	"aureus"	"Staphylococcus_aureus__GCF_001148525.1_8489_7_56_genomic.fna"
"GCF_001150145.1_8489_7_55_genomic.fna"	"Staphylococcus_aureus"	15	2904182	"aureus"	"Staphylococcus_aureus__GCF_001150145.1_8489_7_55_genomic.fna"
"GCF_001150365.1_8489_7_52_genomic.fna"	"Staphylococcus_aureus"	19	2908762	"aureus"	"Staphylococcus_aureus__GCF_001150365.1_8489_7_52_genomic.fna"
"GCF_001151145.1_8489_7_51_genomic.fna"	"Staphylococcus_aureus"	19	2908162	"aureus"	"Staphylococcus_aureus__GCF_001151145.1_8489_7_51_genomic.fna"
"GCF_001164545.1_8489_7_60_genomic.fna"	"Staphylococcus_aureus"	21	2911621	"aureus"	"Staphylococcus_aureus__GCF_001164545.1_8489_7_60_genomic.fna"
"GCF_001167985.1_8489_7_43_genomic.fna"	"Staphylococcus_aureus"	23	2953161	"aureus"	"Staphylococcus_aureus__GCF_001167985.1_8489_7_43_genomic.fna"
"GCF_001183705.3_ASM118370v3_genomic.fna"	"Staphylococcus_aureus"	3	2948297	"aureus"	"Staphylococcus_aureus__GCF_001183705.3_ASM118370v3_genomic.fna"
"GCF_001183725.2_ASM118372v2_genomic.fna"	"Staphylococcus_aureus"	3	2929153	"aureus"	"Staphylococcus_aureus__GCF_001183725.2_ASM118372v2_genomic.fna"
"GCF_001184285.1_ASM118428v2_genomic.fna"	"Staphylococcus_aureus"	79	2769383	"aureus"	"Staphylococcus_aureus__GCF_001184285.1_ASM118428v2_genomic.fna"
"GCF_001184325.1_ASM118432v2_genomic.fna"	"Staphylococcus_aureus"	90	2602834	"aureus"	"Staphylococcus_aureus__GCF_001184325.1_ASM118432v2_genomic.fna"
"GCF_001184335.1_ASM118433v2_genomic.fna"	"Staphylococcus_aureus"	33	2727097	"aureus"	"Staphylococcus_aureus__GCF_001184335.1_ASM118433v2_genomic.fna"
"GCF_001184345.1_ASM118434v2_genomic.fna"	"Staphylococcus_aureus"	49	2863381	"aureus"	"Staphylococcus_aureus__GCF_001184345.1_ASM118434v2_genomic.fna"
"GCF_001191855.1_7907_7_56_genomic.fna"	"Staphylococcus_aureus"	49	2816780	"aureus"	"Staphylococcus_aureus__GCF_001191855.1_7907_7_56_genomic.fna"
"GCF_001191895.1_7748_4_25_genomic.fna"	"Staphylococcus_aureus"	35	2923067	"aureus"	"Staphylococcus_aureus__GCF_001191895.1_7748_4_25_genomic.fna"
"GCF_001192035.1_7738_3_66_genomic.fna"	"Staphylococcus_aureus"	29	2802874	"aureus"	"Staphylococcus_aureus__GCF_001192035.1_7738_3_66_genomic.fna"
"GCF_001192075.1_7907_7_88_genomic.fna"	"Staphylococcus_aureus"	52	2826671	"aureus"	"Staphylococcus_aureus__GCF_001192075.1_7907_7_88_genomic.fna"
"GCF_001192095.1_9266_1_4_genomic.fna"	"Staphylococcus_aureus"	38	2892748	"aureus"	"Staphylococcus_aureus__GCF_001192095.1_9266_1_4_genomic.fna"
"GCF_001192155.1_9235_1_17_genomic.fna"	"Staphylococcus_aureus"	91	2872505	"aureus"	"Staphylococcus_aureus__GCF_001192155.1_9235_1_17_genomic.fna"
"GCF_001192235.1_7748_4_34_genomic.fna"	"Staphylococcus_aureus"	42	2880391	"aureus"	"Staphylococcus_aureus__GCF_001192235.1_7748_4_34_genomic.fna"
"GCF_001192495.1_7907_4_58_genomic.fna"	"Staphylococcus_aureus"	35	2895684	"aureus"	"Staphylococcus_aureus__GCF_001192495.1_7907_4_58_genomic.fna"
"GCF_001192915.1_7738_3_71_genomic.fna"	"Staphylococcus_aureus"	32	2937346	"aureus"	"Staphylococcus_aureus__GCF_001192915.1_7738_3_71_genomic.fna"
"GCF_001193115.1_7907_4_30_genomic.fna"	"Staphylococcus_aureus"	27	2778267	"aureus"	"Staphylococcus_aureus__GCF_001193115.1_7907_4_30_genomic.fna"
"GCF_001193255.1_7738_3_8_genomic.fna"	"Staphylococcus_aureus"	32	2877444	"aureus"	"Staphylococcus_aureus__GCF_001193255.1_7738_3_8_genomic.fna"
"GCF_001193355.1_7907_7_22_genomic.fna"	"Staphylococcus_aureus"	31	2758555	"aureus"	"Staphylococcus_aureus__GCF_001193355.1_7907_7_22_genomic.fna"
"GCF_001193715.1_7748_4_18_genomic.fna"	"Staphylococcus_aureus"	46	2881435	"aureus"	"Staphylococcus_aureus__GCF_001193715.1_7748_4_18_genomic.fna"
"GCF_001193795.1_7738_3_90_genomic.fna"	"Staphylococcus_aureus"	28	2880381	"aureus"	"Staphylococcus_aureus__GCF_001193795.1_7738_3_90_genomic.fna"
"GCF_001193975.1_7907_7_40_genomic.fna"	"Staphylococcus_aureus"	17	2794430	"aureus"	"Staphylococcus_aureus__GCF_001193975.1_7907_7_40_genomic.fna"
"GCF_001194165.1_7738_4_20_genomic.fna"	"Staphylococcus_aureus"	37	2898306	"aureus"	"Staphylococcus_aureus__GCF_001194165.1_7738_4_20_genomic.fna"
"GCF_001194245.1_7907_4_37_genomic.fna"	"Staphylococcus_aureus"	36	2869612	"aureus"	"Staphylococcus_aureus__GCF_001194245.1_7907_4_37_genomic.fna"
"GCF_001194285.1_7907_4_14_genomic.fna"	"Staphylococcus_aureus"	53	2932019	"aureus"	"Staphylococcus_aureus__GCF_001194285.1_7907_4_14_genomic.fna"
"GCF_001194445.1_7738_4_58_genomic.fna"	"Staphylococcus_aureus"	33	2878239	"aureus"	"Staphylococcus_aureus__GCF_001194445.1_7738_4_58_genomic.fna"
"GCF_001194465.1_7748_4_77_genomic.fna"	"Staphylococcus_aureus"	38	2922961	"aureus"	"Staphylococcus_aureus__GCF_001194465.1_7748_4_77_genomic.fna"
"GCF_001194505.1_7738_4_48_genomic.fna"	"Staphylococcus_aureus"	28	2879998	"aureus"	"Staphylococcus_aureus__GCF_001194505.1_7738_4_48_genomic.fna"
"GCF_001194545.1_7907_4_56_genomic.fna"	"Staphylococcus_aureus"	32	2877437	"aureus"	"Staphylococcus_aureus__GCF_001194545.1_7907_4_56_genomic.fna"
"GCF_001194705.1_7738_4_30_genomic.fna"	"Staphylococcus_aureus"	34	2874762	"aureus"	"Staphylococcus_aureus__GCF_001194705.1_7738_4_30_genomic.fna"
"GCF_001194825.1_9266_1_14_genomic.fna"	"Staphylococcus_aureus"	44	2880572	"aureus"	"Staphylococcus_aureus__GCF_001194825.1_9266_1_14_genomic.fna"
"GCF_001194885.1_7748_4_52_genomic.fna"	"Staphylococcus_aureus"	37	2877038	"aureus"	"Staphylococcus_aureus__GCF_001194885.1_7748_4_52_genomic.fna"
"GCF_001195085.1_7907_4_5_genomic.fna"	"Staphylococcus_aureus"	30	2926162	"aureus"	"Staphylococcus_aureus__GCF_001195085.1_7907_4_5_genomic.fna"
"GCF_001195105.1_7907_7_60_genomic.fna"	"Staphylococcus_aureus"	45	2763909	"aureus"	"Staphylococcus_aureus__GCF_001195105.1_7907_7_60_genomic.fna"
"GCF_001195205.1_7907_7_57_genomic.fna"	"Staphylococcus_aureus"	32	2800734	"aureus"	"Staphylococcus_aureus__GCF_001195205.1_7907_7_57_genomic.fna"
"GCF_001195485.1_7738_4_9_genomic.fna"	"Staphylococcus_aureus"	23	2806874	"aureus"	"Staphylococcus_aureus__GCF_001195485.1_7738_4_9_genomic.fna"
"GCF_001195585.1_7738_4_28_genomic.fna"	"Staphylococcus_aureus"	37	2831448	"aureus"	"Staphylococcus_aureus__GCF_001195585.1_7738_4_28_genomic.fna"
"GCF_900250165.1_H1303_genomic.fna"	"Staphylococcus_aureus"	88	2881953	"aureus"	"Staphylococcus_aureus__GCF_900250165.1_H1303_genomic.fna"
"GCF_001195605.1_7738_4_8_genomic.fna"	"Staphylococcus_aureus"	56	2937951	"aureus"	"Staphylococcus_aureus__GCF_001195605.1_7738_4_8_genomic.fna"
"GCF_001195805.1_9266_1_15_genomic.fna"	"Staphylococcus_aureus"	47	2878587	"aureus"	"Staphylococcus_aureus__GCF_001195805.1_9266_1_15_genomic.fna"
"GCF_001195925.1_7738_4_54_genomic.fna"	"Staphylococcus_aureus"	31	2871187	"aureus"	"Staphylococcus_aureus__GCF_001195925.1_7738_4_54_genomic.fna"
"GCF_001196025.1_7907_4_42_genomic.fna"	"Staphylococcus_aureus"	26	2841080	"aureus"	"Staphylococcus_aureus__GCF_001196025.1_7907_4_42_genomic.fna"
"GCF_001196165.1_7748_4_63_genomic.fna"	"Staphylococcus_aureus"	30	2885142	"aureus"	"Staphylococcus_aureus__GCF_001196165.1_7748_4_63_genomic.fna"
"GCF_001196275.1_7748_4_40_genomic.fna"	"Staphylococcus_aureus"	35	2879730	"aureus"	"Staphylococcus_aureus__GCF_001196275.1_7748_4_40_genomic.fna"
"GCF_001196415.1_7738_3_55_genomic.fna"	"Staphylococcus_aureus"	29	2880471	"aureus"	"Staphylococcus_aureus__GCF_001196415.1_7738_3_55_genomic.fna"
"GCF_001196435.1_9266_1_9_genomic.fna"	"Staphylococcus_aureus"	22	2882452	"aureus"	"Staphylococcus_aureus__GCF_001196435.1_9266_1_9_genomic.fna"
"GCF_001196515.1_7738_3_95_genomic.fna"	"Staphylococcus_aureus"	26	2876789	"aureus"	"Staphylococcus_aureus__GCF_001196515.1_7738_3_95_genomic.fna"
"GCF_001196555.1_9061_8_76_genomic.fna"	"Staphylococcus_aureus"	50	2753701	"aureus"	"Staphylococcus_aureus__GCF_001196555.1_9061_8_76_genomic.fna"
"GCF_001196615.1_7907_7_44_genomic.fna"	"Staphylococcus_aureus"	24	2752300	"aureus"	"Staphylococcus_aureus__GCF_001196615.1_7907_7_44_genomic.fna"
"GCF_001196655.1_7907_7_72_genomic.fna"	"Staphylococcus_aureus"	35	2798418	"aureus"	"Staphylococcus_aureus__GCF_001196655.1_7907_7_72_genomic.fna"
"GCF_001196675.1_7738_3_29_genomic.fna"	"Staphylococcus_aureus"	50	2873799	"aureus"	"Staphylococcus_aureus__GCF_001196675.1_7738_3_29_genomic.fna"
"GCF_001196795.1_7907_7_59_genomic.fna"	"Staphylococcus_aureus"	51	2800993	"aureus"	"Staphylococcus_aureus__GCF_001196795.1_7907_7_59_genomic.fna"
"GCF_001196815.1_7738_3_81_genomic.fna"	"Staphylococcus_aureus"	33	2872416	"aureus"	"Staphylococcus_aureus__GCF_001196815.1_7738_3_81_genomic.fna"
"GCF_001196895.1_7738_3_37_genomic.fna"	"Staphylococcus_aureus"	29	2924478	"aureus"	"Staphylococcus_aureus__GCF_001196895.1_7738_3_37_genomic.fna"
"GCF_001197715.1_7907_7_69_genomic.fna"	"Staphylococcus_aureus"	39	2800628	"aureus"	"Staphylococcus_aureus__GCF_001197715.1_7907_7_69_genomic.fna"
"GCF_001198115.1_9235_1_9_genomic.fna"	"Staphylococcus_aureus"	77	2864777	"aureus"	"Staphylococcus_aureus__GCF_001198115.1_9235_1_9_genomic.fna"
"GCF_001198335.1_7738_4_64_genomic.fna"	"Staphylococcus_aureus"	30	2776170	"aureus"	"Staphylococcus_aureus__GCF_001198335.1_7738_4_64_genomic.fna"
"GCF_001198435.1_7738_4_10_genomic.fna"	"Staphylococcus_aureus"	19	2794904	"aureus"	"Staphylococcus_aureus__GCF_001198435.1_7738_4_10_genomic.fna"
"GCF_001198695.1_7748_4_64_genomic.fna"	"Staphylococcus_aureus"	53	2913025	"aureus"	"Staphylococcus_aureus__GCF_001198695.1_7748_4_64_genomic.fna"
"GCF_001202595.1_9266_1_2_genomic.fna"	"Staphylococcus_aureus"	30	2885266	"aureus"	"Staphylococcus_aureus__GCF_001202595.1_9266_1_2_genomic.fna"
"GCF_001203795.1_7748_4_36_genomic.fna"	"Staphylococcus_aureus"	59	2878894	"aureus"	"Staphylococcus_aureus__GCF_001203795.1_7748_4_36_genomic.fna"
"GCF_001204295.1_7738_3_22_genomic.fna"	"Staphylococcus_aureus"	31	2879642	"aureus"	"Staphylococcus_aureus__GCF_001204295.1_7738_3_22_genomic.fna"
"GCF_001204755.1_7748_4_24_genomic.fna"	"Staphylococcus_aureus"	39	2880035	"aureus"	"Staphylococcus_aureus__GCF_001204755.1_7748_4_24_genomic.fna"
"GCF_001204955.1_9266_1_17_genomic.fna"	"Staphylococcus_aureus"	18	2847163	"aureus"	"Staphylococcus_aureus__GCF_001204955.1_9266_1_17_genomic.fna"
"GCF_001204995.1_7738_3_61_genomic.fna"	"Staphylococcus_aureus"	27	2932196	"aureus"	"Staphylococcus_aureus__GCF_001204995.1_7738_3_61_genomic.fna"
"GCF_001205035.1_7893_8_2_genomic.fna"	"Staphylococcus_aureus"	59	2828104	"aureus"	"Staphylococcus_aureus__GCF_001205035.1_7893_8_2_genomic.fna"
"GCF_001205075.1_7907_4_80_genomic.fna"	"Staphylococcus_aureus"	49	2883596	"aureus"	"Staphylococcus_aureus__GCF_001205075.1_7907_4_80_genomic.fna"
"GCF_001205135.1_7738_4_22_genomic.fna"	"Staphylococcus_aureus"	32	2920352	"aureus"	"Staphylococcus_aureus__GCF_001205135.1_7738_4_22_genomic.fna"
"GCF_001205195.1_7748_4_72_genomic.fna"	"Staphylococcus_aureus"	54	2879350	"aureus"	"Staphylococcus_aureus__GCF_001205195.1_7748_4_72_genomic.fna"
"GCF_001206095.1_7738_3_24_genomic.fna"	"Staphylococcus_aureus"	38	2881331	"aureus"	"Staphylococcus_aureus__GCF_001206095.1_7738_3_24_genomic.fna"
"GCF_001206115.1_7907_4_7_genomic.fna"	"Staphylococcus_aureus"	26	2827838	"aureus"	"Staphylococcus_aureus__GCF_001206115.1_7907_4_7_genomic.fna"
"GCF_001206695.1_8987_2_37_genomic.fna"	"Staphylococcus_aureus"	45	2807126	"aureus"	"Staphylococcus_aureus__GCF_001206695.1_8987_2_37_genomic.fna"
"GCF_001206735.1_7738_3_82_genomic.fna"	"Staphylococcus_aureus"	30	2872671	"aureus"	"Staphylococcus_aureus__GCF_001206735.1_7738_3_82_genomic.fna"
"GCF_001206755.1_7748_4_20_genomic.fna"	"Staphylococcus_aureus"	66	2922678	"aureus"	"Staphylococcus_aureus__GCF_001206755.1_7748_4_20_genomic.fna"
"GCF_001206875.1_7907_4_57_genomic.fna"	"Staphylococcus_aureus"	50	2950204	"aureus"	"Staphylococcus_aureus__GCF_001206875.1_7907_4_57_genomic.fna"
"GCF_001208345.1_7748_4_41_genomic.fna"	"Staphylococcus_aureus"	29	2811645	"aureus"	"Staphylococcus_aureus__GCF_001208345.1_7748_4_41_genomic.fna"
"GCF_001208385.1_7907_4_55_genomic.fna"	"Staphylococcus_aureus"	48	2906882	"aureus"	"Staphylococcus_aureus__GCF_001208385.1_7907_4_55_genomic.fna"
"GCF_001208645.1_7907_7_1_genomic.fna"	"Staphylococcus_aureus"	13	2762610	"aureus"	"Staphylococcus_aureus__GCF_001208645.1_7907_7_1_genomic.fna"
"GCF_001208665.1_7907_7_87_genomic.fna"	"Staphylococcus_aureus"	52	2807472	"aureus"	"Staphylococcus_aureus__GCF_001208665.1_7907_7_87_genomic.fna"
"GCF_001208745.1_7738_3_83_genomic.fna"	"Staphylococcus_aureus"	27	2880560	"aureus"	"Staphylococcus_aureus__GCF_001208745.1_7738_3_83_genomic.fna"
"GCF_001208805.1_9669_1_4_genomic.fna"	"Staphylococcus_aureus"	20	2907711	"aureus"	"Staphylococcus_aureus__GCF_001208805.1_9669_1_4_genomic.fna"
"GCF_001208965.1_7738_3_43_genomic.fna"	"Staphylococcus_aureus"	38	2918002	"aureus"	"Staphylococcus_aureus__GCF_001208965.1_7738_3_43_genomic.fna"
"GCF_001209565.1_7738_4_47_genomic.fna"	"Staphylococcus_aureus"	31	2933510	"aureus"	"Staphylococcus_aureus__GCF_001209565.1_7738_4_47_genomic.fna"
"GCF_001209605.1_7738_4_63_genomic.fna"	"Staphylococcus_aureus"	32	2880379	"aureus"	"Staphylococcus_aureus__GCF_001209605.1_7738_4_63_genomic.fna"
"GCF_001209885.1_7738_3_73_genomic.fna"	"Staphylococcus_aureus"	31	2879093	"aureus"	"Staphylococcus_aureus__GCF_001209885.1_7738_3_73_genomic.fna"
"GCF_001210205.1_9235_1_19_genomic.fna"	"Staphylococcus_aureus"	44	2882715	"aureus"	"Staphylococcus_aureus__GCF_001210205.1_9235_1_19_genomic.fna"
"GCF_001210265.1_7907_4_67_genomic.fna"	"Staphylococcus_aureus"	35	2845556	"aureus"	"Staphylococcus_aureus__GCF_001210265.1_7907_4_67_genomic.fna"
"GCF_001210285.1_7738_3_18_genomic.fna"	"Staphylococcus_aureus"	32	2922707	"aureus"	"Staphylococcus_aureus__GCF_001210285.1_7738_3_18_genomic.fna"
"GCF_001210425.1_7907_4_15_genomic.fna"	"Staphylococcus_aureus"	43	2925765	"aureus"	"Staphylococcus_aureus__GCF_001210425.1_7907_4_15_genomic.fna"
"GCF_001210565.1_7748_4_50_genomic.fna"	"Staphylococcus_aureus"	26	2776377	"aureus"	"Staphylococcus_aureus__GCF_001210565.1_7748_4_50_genomic.fna"
"GCF_001210725.1_9235_1_8_genomic.fna"	"Staphylococcus_aureus"	52	2871741	"aureus"	"Staphylococcus_aureus__GCF_001210725.1_9235_1_8_genomic.fna"
"GCF_001210785.1_7738_3_56_genomic.fna"	"Staphylococcus_aureus"	33	2923152	"aureus"	"Staphylococcus_aureus__GCF_001210785.1_7738_3_56_genomic.fna"
"GCF_001211025.1_7907_7_58_genomic.fna"	"Staphylococcus_aureus"	59	2837327	"aureus"	"Staphylococcus_aureus__GCF_001211025.1_7907_7_58_genomic.fna"
"GCF_001211045.1_7907_4_18_genomic.fna"	"Staphylococcus_aureus"	28	2839275	"aureus"	"Staphylococcus_aureus__GCF_001211045.1_7907_4_18_genomic.fna"
"GCF_001211265.1_7738_3_85_genomic.fna"	"Staphylococcus_aureus"	29	2923804	"aureus"	"Staphylococcus_aureus__GCF_001211265.1_7738_3_85_genomic.fna"
"GCF_001211965.1_7748_4_59_genomic.fna"	"Staphylococcus_aureus"	30	2886187	"aureus"	"Staphylococcus_aureus__GCF_001211965.1_7748_4_59_genomic.fna"
"GCF_001212005.1_7738_3_58_genomic.fna"	"Staphylococcus_aureus"	30	2850241	"aureus"	"Staphylococcus_aureus__GCF_001212005.1_7738_3_58_genomic.fna"
"GCF_001212145.1_7748_4_94_genomic.fna"	"Staphylococcus_aureus"	35	2875307	"aureus"	"Staphylococcus_aureus__GCF_001212145.1_7748_4_94_genomic.fna"
"GCF_001212245.1_7738_3_44_genomic.fna"	"Staphylococcus_aureus"	31	2925826	"aureus"	"Staphylococcus_aureus__GCF_001212245.1_7738_3_44_genomic.fna"
"GCF_001212365.1_7907_4_88_genomic.fna"	"Staphylococcus_aureus"	32	2877712	"aureus"	"Staphylococcus_aureus__GCF_001212365.1_7907_4_88_genomic.fna"
"GCF_001212385.1_9235_1_2_genomic.fna"	"Staphylococcus_aureus"	57	2863465	"aureus"	"Staphylococcus_aureus__GCF_001212385.1_9235_1_2_genomic.fna"
"GCF_001212425.1_7748_4_49_genomic.fna"	"Staphylococcus_aureus"	31	2768496	"aureus"	"Staphylococcus_aureus__GCF_001212425.1_7748_4_49_genomic.fna"
"GCF_001212445.1_7738_3_67_genomic.fna"	"Staphylococcus_aureus"	31	2849314	"aureus"	"Staphylococcus_aureus__GCF_001212445.1_7738_3_67_genomic.fna"
"GCF_001212605.1_7738_3_76_genomic.fna"	"Staphylococcus_aureus"	25	2878912	"aureus"	"Staphylococcus_aureus__GCF_001212605.1_7738_3_76_genomic.fna"
"GCF_001212745.1_7748_4_58_genomic.fna"	"Staphylococcus_aureus"	63	2889762	"aureus"	"Staphylococcus_aureus__GCF_001212745.1_7748_4_58_genomic.fna"
"GCF_001212765.1_7907_4_91_genomic.fna"	"Staphylococcus_aureus"	44	2927078	"aureus"	"Staphylococcus_aureus__GCF_001212765.1_7907_4_91_genomic.fna"
"GCF_001223565.1_5364_1_2_genomic.fna"	"Staphylococcus_aureus"	76	2902976	"aureus"	"Staphylococcus_aureus__GCF_001223565.1_5364_1_2_genomic.fna"
"GCF_001223625.1_4395_5_9_genomic.fna"	"Staphylococcus_aureus"	61	2732151	"aureus"	"Staphylococcus_aureus__GCF_001223625.1_4395_5_9_genomic.fna"
"GCF_001223645.1_4395_5_2_genomic.fna"	"Staphylococcus_aureus"	37	2777805	"aureus"	"Staphylococcus_aureus__GCF_001223645.1_4395_5_2_genomic.fna"
"GCF_001223665.1_4395_7_4_genomic.fna"	"Staphylococcus_aureus"	47	2765286	"aureus"	"Staphylococcus_aureus__GCF_001223665.1_4395_7_4_genomic.fna"
"GCF_001223705.1_4395_8_12_genomic.fna"	"Staphylococcus_aureus"	50	2753762	"aureus"	"Staphylococcus_aureus__GCF_001223705.1_4395_8_12_genomic.fna"
"GCF_001223785.1_6401_7_12_genomic.fna"	"Staphylococcus_aureus"	29	2801037	"aureus"	"Staphylococcus_aureus__GCF_001223785.1_6401_7_12_genomic.fna"
"GCF_001223825.1_5364_6_8_genomic.fna"	"Staphylococcus_aureus"	91	2852699	"aureus"	"Staphylococcus_aureus__GCF_001223825.1_5364_6_8_genomic.fna"
"GCF_001223865.1_6401_7_16_genomic.fna"	"Staphylococcus_aureus"	34	2752814	"aureus"	"Staphylococcus_aureus__GCF_001223865.1_6401_7_16_genomic.fna"
"GCF_001223965.1_4351_7_8_genomic.fna"	"Staphylococcus_aureus"	99	2698529	"aureus"	"Staphylococcus_aureus__GCF_001223965.1_4351_7_8_genomic.fna"
"GCF_001224085.1_6437_8_3_genomic.fna"	"Staphylococcus_aureus"	31	2721901	"aureus"	"Staphylococcus_aureus__GCF_001224085.1_6437_8_3_genomic.fna"
"GCF_001224165.1_4351_3_5_genomic.fna"	"Staphylococcus_aureus"	48	2801969	"aureus"	"Staphylococcus_aureus__GCF_001224165.1_4351_3_5_genomic.fna"
"GCF_001224285.1_4351_7_11_genomic.fna"	"Staphylococcus_aureus"	70	2699196	"aureus"	"Staphylococcus_aureus__GCF_001224285.1_4351_7_11_genomic.fna"
"GCF_001224365.1_6401_7_20_genomic.fna"	"Staphylococcus_aureus"	31	2733185	"aureus"	"Staphylococcus_aureus__GCF_001224365.1_6401_7_20_genomic.fna"
"GCF_001224445.1_6401_6_12_genomic.fna"	"Staphylococcus_aureus"	24	2805844	"aureus"	"Staphylococcus_aureus__GCF_001224445.1_6401_6_12_genomic.fna"
"GCF_001224505.1_5364_2_3_genomic.fna"	"Staphylococcus_aureus"	78	2869029	"aureus"	"Staphylococcus_aureus__GCF_001224505.1_5364_2_3_genomic.fna"
"GCF_001224525.1_4395_7_10_genomic.fna"	"Staphylococcus_aureus"	62	2800599	"aureus"	"Staphylococcus_aureus__GCF_001224525.1_4395_7_10_genomic.fna"
"GCF_900250175.1_H1304_genomic.fna"	"Staphylococcus_aureus"	35	2776608	"aureus"	"Staphylococcus_aureus__GCF_900250175.1_H1304_genomic.fna"
"GCF_001224565.1_5295_1_2_genomic.fna"	"Staphylococcus_aureus"	160	2909812	"aureus"	"Staphylococcus_aureus__GCF_001224565.1_5295_1_2_genomic.fna"
"GCF_001224605.1_4351_3_1_genomic.fna"	"Staphylococcus_aureus"	89	2797938	"aureus"	"Staphylococcus_aureus__GCF_001224605.1_4351_3_1_genomic.fna"
"GCF_001224685.1_4351_7_10_genomic.fna"	"Staphylococcus_aureus"	55	2769777	"aureus"	"Staphylococcus_aureus__GCF_001224685.1_4351_7_10_genomic.fna"
"GCF_001224725.1_5119_1_8_genomic.fna"	"Staphylococcus_aureus"	80	2888157	"aureus"	"Staphylococcus_aureus__GCF_001224725.1_5119_1_8_genomic.fna"
"GCF_001224765.1_6437_8_2_genomic.fna"	"Staphylococcus_aureus"	26	2809813	"aureus"	"Staphylococcus_aureus__GCF_001224765.1_6437_8_2_genomic.fna"
"GCF_001224785.1_5083_6_3_genomic.fna"	"Staphylococcus_aureus"	157	2927025	"aureus"	"Staphylococcus_aureus__GCF_001224785.1_5083_6_3_genomic.fna"
"GCF_001224825.1_4395_6_6_genomic.fna"	"Staphylococcus_aureus"	109	2790162	"aureus"	"Staphylococcus_aureus__GCF_001224825.1_4395_6_6_genomic.fna"
"GCF_001224885.1_5139_7_7_genomic.fna"	"Staphylococcus_aureus"	139	3006350	"aureus"	"Staphylococcus_aureus__GCF_001224885.1_5139_7_7_genomic.fna"
