"IS431s_start" "IS431s_len" "IS431s_end" "IS431s_dir" "IS1272s_start" "IS1272s_len" "IS1272s_end" "IS1272s_dir" "mecI_start" "mecI_len" "mecI_end" "mecI_dir" "mecR_start" "mecR_len" "mecR_end" "mecR_dir" "mecA_start" "mecA_len" "mecA_end" "mecA_dir" "IS431e_start" "IS431e_len" "IS431e_end" "IS431e_dir" "IS431_10bp" "assembly" "GCF_ID" "contig" "species" "contig_length" "assembly_strand" "mecA_to_end_length" "end_length" "mecR_to_end_length" "mecR_end_length" "mecR_len_simple" "mecI_present" "IS1272_present" "IS431s_present" "mecR_type" "ISs_status" "mec_class" "mec_class_inferred"
"246" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "92" "90" "181" "<" "278" "2010" "2287" ">" "-" "-" "-" "-" "1" "GCF_900250585.1_H1" "GCF_900250585.1" "NZ_OFVN01000012.1" "Staphylococcus_aureus" 4975 "plus" 278 278 92 92 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"247" "35523" "675" "36197" "<" "-" "-" "-" "-" "-" "-" "-" "-" "36254" "92" "36345" "<" "36442" "2010" "38451" ">" "-" "-" "-" "-" "1" "GCF_900250555.1_H1" "GCF_900250555.1" "NZ_OFVP01000036.1" "Staphylococcus_aureus" 40403 "plus" 36442 5000 36254 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"248" "7091" "675" "7765" "<" "-" "-" "-" "-" "-" "-" "-" "-" "7822" "92" "7913" "<" "8010" "2010" "10019" ">" "12555" "163" ">12717" ">" "1" "GCF_900250525.1_H1" "GCF_900250525.1" "NZ_OFVG01000009.1" "Staphylococcus_aureus" 12717 "plus" 8010 5000 7822 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"249" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "4796" "92" "4887" "<" "2690" "2010" "4699" ">" "-" "-" "-" "-" "1" "GCF_900250455.1_H1" "GCF_900250455.1" "NZ_OFVC01000018.1" "Staphylococcus_aureus" 4977 "minus" 278 278 90 90 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"250" "4927" "675" "5601" "<" "-" "-" "-" "-" "-" "-" "-" "-" "4779" "92" "4870" "<" "2673" "2010" "4682" ">" "-" "-" "-" "-" "1" "GCF_900045765.1_7414_7" "GCF_900045765.1" "NZ_FFYN01000027.1" "Staphylococcus_aureus" 19978 "minus" 15296 5000 15108 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"251" "-" "-" "-" "-" "5262" "1637" "6898" ">" "-" "-" "-" "-" "4034" "975" "5008" "<" "1928" "2010" "3937" ">" "-" "-" "-" "-" "0" "GCF_900045015.1_7414_8" "GCF_900045015.1" "NZ_FGHA01000019.1" "Staphylococcus_aureus" 43029 "minus" 39092 5000 38021 5000 "type4" 0 1 0 "type4" "Present" "B" "NT"
"252" "-" "-" "-" "-" "26549" "1637" "28185" ">" "-" "-" "-" "-" "25321" "975" "26295" "<" "23215" "2010" "25224" ">" "19885" "675" "20559" ">" "0" "GCF_900044605.1_7480_8" "GCF_900044605.1" "NZ_FGVP01000013.1" "Staphylococcus_aureus" 64307 "minus" 39083 5000 38012 5000 "type4" 0 1 0 "type4" "Present" "B" "NT"
"253" "-" "-" "-" "-" "36128" "1637" "37764" ">" "-" "-" "-" "-" "38018" "975" "38992" "<" "39089" "2010" "41098" ">" "43754" "675" "44428" ">" "0" "GCF_900042535.1_7469_7" "GCF_900042535.1" "NZ_FGUY01000005.1" "Staphylococcus_aureus" 182729 "plus" 39089 5000 38018 5000 "type4" 0 1 0 "type4" "Present" "B" "NT"
"254" "1514467" "675" "1515141" "<" "-" "-" "-" "-" "-" "-" "-" "-" "1515198" "92" "1515289" "<" "1515386" "2010" "1517395" ">" "1520091" "675" "1520765" ">" "1" "GCF_009684655.1_ASM96846" "GCF_009684655.1" "NZ_CP045472.1" "Staphylococcus_aureus" 2822516 "plus" 1515386 5000 1515198 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"255" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "80" "92" "171" "<" "268" "2010" "2277" ">" "-" "-" "-" "-" "1" "GCF_900041995.1_7414_8" "GCF_900041995.1" "NZ_FGPQ01000016.1" "Staphylococcus_aureus" 4948 "plus" 268 268 80 80 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"256" "-" "-" "-" "-" "36121" "1637" "37757" ">" "-" "-" "-" "-" "38011" "975" "38985" "<" "39082" "2010" "41091" ">" "43747" "675" "44421" ">" "0" "GCF_900064245.1_7480_8" "GCF_900064245.1" "NZ_FHDF01000014.1" "Staphylococcus_aureus" 64308 "plus" 39082 5000 38011 5000 "type4" 0 1 0 "type4" "Present" "B" "NT"
"257" "-" "-" "-" "-" "181210" "1637" "182846" ">" "-" "-" "-" "-" "179982" "975" "180956" "<" "177876" "2010" "179885" ">" "174546" "675" "175220" ">" "0" "GCF_900063945.1_7564_8" "GCF_900063945.1" "NZ_FGZJ01000004.1" "Staphylococcus_aureus" 218965 "minus" 39080 5000 38009 5000 "type4" 0 1 0 "type4" "Present" "B" "NT"
"258" "-" "-" "-" "-" "57305" "1637" "58941" ">" "-" "-" "-" "-" "56077" "975" "57051" "<" "53971" "2010" "55980" ">" "50641" "675" "51315" ">" "0" "GCF_900060805.1_7564_8" "GCF_900060805.1" "NZ_FHAF01000016.1" "Staphylococcus_aureus" 68957 "minus" 12977 5000 11906 5000 "type4" 0 1 0 "type4" "Present" "B" "NT"
"259" "-" "-" "-" "-" "36150" "1637" "37786" ">" "-" "-" "-" "-" "38040" "975" "39014" "<" "39111" "2010" "41120" ">" "43776" "675" "44450" ">" "0" "GCF_900060215.1_7564_8" "GCF_900060215.1" "NZ_FHAE01000011.1" "Staphylococcus_aureus" 94788 "plus" 39111 5000 38040 5000 "type4" 0 1 0 "type4" "Present" "B" "NT"
"260" "2202" "675" "2876" "<" "-" "-" "-" "-" "-" "-" "-" "-" "2933" "92" "3024" "<" "3121" "2010" "5130" ">" "-" "-" "-" "-" "1" "GCF_009660925.1_ASM96609" "GCF_009660925.1" "NZ_WJSS01000037.1" "Staphylococcus_aureus" 7724 "plus" 3121 3121 2933 2933 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"261" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "4874" "92" "4965" "<" "2768" "2010" "4777" ">" "-" "-" "-" "-" "1" "GCF_900057345.1_7564_8" "GCF_900057345.1" "NZ_FHER01000040.1" "Staphylococcus_aureus" 5093 "minus" 316 316 128 128 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"262" "-" "-" "-" "-" "36167" "1637" "37803" ">" "-" "-" "-" "-" "38057" "975" "39031" "<" "39128" "2010" "41137" ">" "43793" "675" "44467" ">" "0" "GCF_900057105.1_7748_6" "GCF_900057105.1" "NZ_FGYA01000002.1" "Staphylococcus_aureus" 219164 "plus" 39128 5000 38057 5000 "type4" 0 1 0 "type4" "Present" "B" "NT"
"263" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "2962" "2010" "4971" ">" "<1" "306" "306" ">" "0" "GCF_008763845.1_ASM87638" "GCF_008763845.1" "NZ_VRRX01000048.1" "Staphylococcus_aureus" 5009 "minus" 38 38 NA NA "-" 0 0 0 "-" "Absent" "NT" "NT"
"264" "5216" "675" "5890" "<" "-" "-" "-" "-" "-" "-" "-" "-" "5068" "92" "5159" "<" "2962" "2010" "4971" ">" "<1" "306" "306" ">" "1" "GCF_008763835.1_ASM87638" "GCF_008763835.1" "NZ_VRRY01000037.1" "Staphylococcus_aureus" 16149 "minus" 11178 5000 10990 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"265" "10365" "675" "11039" "<" "-" "-" "-" "-" "-" "-" "-" "-" "11096" "92" "11187" "<" "11284" "2010" "13293" ">" "15949" "306" ">16254" ">" "1" "GCF_008763815.1_ASM87638" "GCF_008763815.1" "NZ_VRRW01000056.1" "Staphylococcus_aureus" 16254 "plus" 11284 5000 11096 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"266" "5216" "675" "5890" "<" "-" "-" "-" "-" "-" "-" "-" "-" "5068" "92" "5159" "<" "2962" "2010" "4971" ">" "<1" "306" "306" ">" "1" "GCF_008763805.1_ASM87638" "GCF_008763805.1" "NZ_VRRV01000037.1" "Staphylococcus_aureus" 7363 "minus" 2392 2392 2204 2204 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"267" "68541" "675" "69215" "<" "-" "-" "-" "-" "-" "-" "-" "-" "68393" "92" "68484" "<" "66287" "2010" "68296" ">" "62957" "675" "63631" ">" "1" "GCF_008763755.1_ASM87637" "GCF_008763755.1" "NZ_VRRS01000011.1" "Staphylococcus_aureus" 79474 "minus" 11178 5000 10990 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"268" "10260" "675" "10934" "<" "-" "-" "-" "-" "-" "-" "-" "-" "10991" "92" "11082" "<" "11179" "2010" "13188" ">" "15844" "675" "16518" ">" "1" "GCF_008763735.1_ASM87637" "GCF_008763735.1" "NZ_VRRT01000009.1" "Staphylococcus_aureus" 81469 "plus" 11179 5000 10991 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"269" "68547" "675" "69221" "<" "-" "-" "-" "-" "-" "-" "-" "-" "68399" "92" "68490" "<" "66293" "2010" "68302" ">" "62963" "675" "63637" ">" "1" "GCF_008763725.1_ASM87637" "GCF_008763725.1" "NZ_VRRR01000012.1" "Staphylococcus_aureus" 79480 "minus" 11178 5000 10990 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"270" "5216" "675" "5890" "<" "-" "-" "-" "-" "-" "-" "-" "-" "5068" "92" "5159" "<" "2962" "2010" "4971" ">" "<1" "306" "306" ">" "1" "GCF_008763715.1_ASM87637" "GCF_008763715.1" "NZ_VRRQ01000088.1" "Staphylococcus_aureus" 7516 "minus" 2545 2545 2357 2357 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"271" "5216" "675" "5890" "<" "-" "-" "-" "-" "-" "-" "-" "-" "5068" "92" "5159" "<" "2962" "2010" "4971" ">" "<1" "306" "306" ">" "1" "GCF_008763675.1_ASM87636" "GCF_008763675.1" "NZ_VRRP01000038.1" "Staphylococcus_aureus" 7183 "minus" 2212 2212 2024 2024 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"272" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "1" "88" "88" "<" "185" "2010" "2194" ">" "-" "-" "-" "-" "0" "GCF_008763665.1_ASM87636" "GCF_008763665.1" "NZ_VRRN01000060.1" "Staphylococcus_aureus" 4789 "plus" 185 185 1 1 "NT_0-99" 0 0 0 "NT_0-99" "Absent" "NT" "NT"
"273" "<1" "523" "523" "<" "-" "-" "-" "-" "-" "-" "-" "-" "580" "92" "671" "<" "768" "2010" "2777" ">" "5433" "306" ">5738" ">" "1" "GCF_008763655.1_ASM87636" "GCF_008763655.1" "NZ_VRRO01000033.1" "Staphylococcus_aureus" 5738 "plus" 768 768 580 580 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"274" "10260" "675" "10934" "<" "-" "-" "-" "-" "-" "-" "-" "-" "10991" "92" "11082" "<" "11179" "2010" "13188" ">" "15764" "675" "16438" ">" "1" "GCF_008763625.1_ASM87636" "GCF_008763625.1" "NZ_VRRM01000012.1" "Staphylococcus_aureus" 79394 "plus" 11179 5000 10991 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"275" "1123" "675" "1797" "<" "-" "-" "-" "-" "-" "-" "-" "-" "1854" "92" "1945" "<" "2042" "2010" "4051" ">" "6707" "675" "7381" ">" "1" "GCF_008763615.1_ASM87636" "GCF_008763615.1" "NZ_VRRL01000016.1" "Staphylococcus_aureus" 70337 "plus" 2042 2042 1854 1854 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"276" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "20" "2010" "2029" ">" "4685" "306" ">4990" ">" "0" "GCF_008763575.1_ASM87635" "GCF_008763575.1" "NZ_VRRK01000023.1" "Staphylococcus_aureus" 4990 "plus" 20 20 NA NA "-" 0 0 0 "-" "Absent" "NT" "NT"
"277" "7244" "675" "7918" "<" "-" "-" "-" "-" "-" "-" "-" "-" "7975" "92" "8066" "<" "8163" "2010" "10172" ">" "12828" "675" "13502" ">" "1" "GCF_008763525.1_ASM87635" "GCF_008763525.1" "NZ_VRRG01000014.1" "Staphylococcus_aureus" 78342 "plus" 8163 5000 7975 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"278" "5216" "675" "5890" "<" "-" "-" "-" "-" "-" "-" "-" "-" "5068" "92" "5159" "<" "2962" "2010" "4971" ">" "<1" "306" "306" ">" "1" "GCF_008763505.1_ASM87635" "GCF_008763505.1" "NZ_VRRH01000037.1" "Staphylococcus_aureus" 16149 "minus" 11178 5000 10990 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"279" "70683" "675" "71357" "<" "-" "-" "-" "-" "-" "-" "-" "-" "70535" "92" "70626" "<" "68429" "2010" "70438" ">" "65099" "675" "65773" ">" "1" "GCF_008763485.1_ASM87634" "GCF_008763485.1" "NZ_VRRF01000010.1" "Staphylococcus_aureus" 81616 "minus" 11178 5000 10990 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"280" "10260" "675" "10934" "<" "-" "-" "-" "-" "-" "-" "-" "-" "10991" "92" "11082" "<" "11179" "2010" "13188" ">" "15844" "675" "16518" ">" "1" "GCF_008763465.1_ASM87634" "GCF_008763465.1" "NZ_VRRE01000013.1" "Staphylococcus_aureus" 79474 "plus" 11179 5000 10991 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"281" "10260" "675" "10934" "<" "-" "-" "-" "-" "-" "-" "-" "-" "10991" "92" "11082" "<" "11179" "2010" "13188" ">" "15844" "306" ">16149" ">" "1" "GCF_008763455.1_ASM87634" "GCF_008763455.1" "NZ_VRRD01000019.1" "Staphylococcus_aureus" 16149 "plus" 11179 5000 10991 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"282" "<1" "92" "92" "<" "-" "-" "-" "-" "-" "-" "-" "-" "149" "92" "240" "<" "337" "2010" "2346" ">" "5002" "675" "5676" ">" "1" "GCF_008763405.1_ASM87634" "GCF_008763405.1" "NZ_VRRC01000014.1" "Staphylococcus_aureus" 70516 "plus" 337 337 149 149 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"283" "89654" "675" "90328" "<" "-" "-" "-" "-" "-" "-" "-" "-" "89506" "92" "89597" "<" "87400" "2010" "89409" ">" "84070" "675" "84744" ">" "1" "GCF_008763395.1_ASM87633" "GCF_008763395.1" "NZ_VRRB01000010.1" "Staphylococcus_aureus" 100587 "minus" 11178 5000 10990 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"284" "-" "-" "-" "-" "14941" "1637" "16577" ">" "-" "-" "-" "-" "13713" "975" "14687" "<" "11607" "2010" "13616" ">" "8277" "675" "8951" ">" "0" "GCF_900050605.1_7564_8" "GCF_900050605.1" "NZ_FHAG01000016.1" "Staphylococcus_aureus" 52703 "minus" 39087 5000 38016 5000 "type4" 0 1 0 "type4" "Present" "B" "NT"
"285" "736369" "675" "737043" "<" "-" "-" "-" "-" "-" "-" "-" "-" "736221" "92" "736312" "<" "734115" "2010" "736124" ">" "730905" "675" "731579" ">" "1" "GCF_008694145.1_ASM86941" "GCF_008694145.1" "NZ_CP043916.1" "Staphylococcus_aureus" 2787596 "minus" 2051472 5000 2051284 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"286" "17167" "675" "17841" "<" "-" "-" "-" "-" "-" "-" "-" "-" "17898" "92" "17989" "<" "18086" "2010" "20095" ">" "22751" "675" "23425" ">" "1" "GCF_900039215.1_7521_6" "GCF_900039215.1" "NZ_FGNG01000017.1" "Staphylococcus_aureus" 48000 "plus" 18086 5000 17898 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"287" "50482" "675" "51156" "<" "-" "-" "-" "-" "-" "-" "-" "-" "50334" "92" "50425" "<" "48228" "2010" "50237" ">" "44859" "675" "45533" ">" "1" "GCF_008330045.1_ASM83300" "GCF_008330045.1" "NZ_CP039448.1" "Staphylococcus_aureus" 2857169 "minus" 2806932 5000 2806744 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"288" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "118" "92" "209" "<" "306" "2010" "2315" ">" "-" "-" "-" "-" "1" "GCF_900048365.1_7480_8" "GCF_900048365.1" "NZ_FGXA01000043.1" "Staphylococcus_aureus" 5041 "plus" 306 306 118 118 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"289" "7317" "675" "7991" "<" "-" "-" "-" "-" "-" "-" "-" "-" "7169" "92" "7260" "<" "5063" "2010" "7072" ">" "1773" "675" "2447" ">" "1" "GCF_003239745.1_ASM32397" "GCF_003239745.1" "NZ_PZXD01000022.1" "Staphylococcus_aureus" 9763 "minus" 2691 2691 2503 2503 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"290" "7317" "675" "7991" "<" "-" "-" "-" "-" "-" "-" "-" "-" "7169" "92" "7260" "<" "5063" "2010" "7072" ">" "1773" "675" "2447" ">" "1" "GCF_003239745.1_ASM32397" "GCF_003239745.1" "NZ_PZXD01000021.1" "Staphylococcus_aureus" 15498 "minus" 8426 5000 8238 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"291" "8402" "675" "9076" "<" "-" "-" "-" "-" "-" "-" "-" "-" "9133" "92" "9224" "<" "9321" "2010" "11330" ">" "14026" "675" "14700" ">" "1" "GCF_003239505.1_ASM32395" "GCF_003239505.1" "NZ_PZWB01000027.1" "Staphylococcus_aureus" 17795 "plus" 9321 5000 9133 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"292" "4831" "675" "5505" "<" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "5750" "2010" "7759" ">" "10215" "675" "10889" ">" "0" "GCF_002723775.1_ASM27237" "GCF_002723775.1" "NZ_PDFA01000011.1" "Staphylococcus_aureus" NA "plus" 5750 5000 NA NA "-" 0 0 1 "-" "Present" "NT" "NT"
"293" "4802" "675" "5476" "<" "-" "-" "-" "-" "-" "-" "-" "-" "5533" "92" "5624" "<" "5721" "2010" "7730" ">" "10306" "675" "10980" ">" "1" "GCF_002723755.1_ASM27237" "GCF_002723755.1" "NZ_PDFB01000004.1" "Staphylococcus_aureus" 227997 "plus" 5721 5000 5533 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"294" "<1" "410" "410" "<" "-" "-" "-" "-" "-" "-" "-" "-" "469" "90" "558" "<" "655" "2010" "2664" ">" "5280" "70" ">5349" ">" "1" "GCF_003239415.1_ASM32394" "GCF_003239415.1" "NZ_PZVP01000025.1" "Staphylococcus_aureus" 5349 "plus" 655 655 469 469 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"295" "67764" "675" "68438" "<" "-" "-" "-" "-" "-" "-" "-" "-" "67616" "92" "67707" "<" "65510" "2010" "67519" ">" "62540" "675" "63214" ">" "1" "GCF_002442975.1_ASM24429" "GCF_002442975.1" "NZ_CP020741.1" "Staphylococcus_aureus" 2831958 "minus" 2764439 5000 2764251 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"296" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "4706" "92" "4797" "<" "2600" "2010" "4609" ">" "-" "-" "-" "-" "0" "GCF_003239055.1_ASM32390" "GCF_003239055.1" "NZ_PZSX01000037.1" "Staphylococcus_aureus" 4837 "minus" 228 228 40 40 "NT_0-99" 0 0 0 "NT_0-99" "Absent" "NT" "NT"
"297" "70636" "675" "71310" "<" "-" "-" "-" "-" "-" "-" "-" "-" "70488" "92" "70579" "<" "68382" "2010" "70391" ">" "65132" "675" "65806" ">" "1" "GCF_002407225.1_ASM24072" "GCF_002407225.1" "NZ_NXFU01000018.1" "Staphylococcus_aureus" 74001 "minus" 3610 3610 3422 3422 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"298" "5541" "671" ">6211" "<" "-" "-" "-" "-" "-" "-" "-" "-" "5393" "92" "5484" "<" "3287" "2010" "5296" ">" "<1" "671" "671" ">" "1" "GCF_003238965.1_ASM32389" "GCF_003238965.1" "NZ_PZSU01000057.1" "Staphylococcus_aureus" 6211 "minus" 915 915 727 727 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"299" "17442" "675" "18116" "<" "-" "-" "-" "-" "-" "-" "-" "-" "18173" "92" "18264" "<" "18361" "2010" "20370" ">" "22986" "675" "23660" ">" "1" "GCF_003238885.1_ASM32388" "GCF_003238885.1" "NZ_PZYD01000001.1" "Staphylococcus_aureus" 598532 "plus" 18361 5000 18173 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"300" "<1" "301" "301" "<" "-" "-" "-" "-" "-" "-" "-" "-" "358" "92" "449" "<" "546" "2010" "2555" ">" "5251" "67" ">5317" ">" "1" "GCF_003238875.1_ASM32388" "GCF_003238875.1" "NZ_PZYC01000048.1" "Staphylococcus_aureus" 5317 "plus" 546 546 358 358 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"301" "222578" "675" "223252" "<" "-" "-" "-" "-" "-" "-" "-" "-" "222430" "92" "222521" "<" "220324" "2010" "222333" ">" "217074" "675" "217748" ">" "1" "GCF_002307435.1_ASM23074" "GCF_002307435.1" "NZ_NTMC01000006.1" "Staphylococcus_aureus" 226016 "minus" 3683 3683 3495 3495 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"302" "7620" "675" "8294" "<" "-" "-" "-" "-" "-" "-" "-" "-" "8351" "92" "8442" "<" "8539" "2010" "10548" ">" "13204" "424" ">13627" ">" "1" "GCF_002304635.1_ISU-909_v" "GCF_002304635.1" "NZ_LKWK01000110.1" "Staphylococcus_aureus" 13627 "plus" 8539 5000 8351 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"303" "8561" "675" "9235" "<" "-" "-" "-" "-" "-" "-" "-" "-" "8413" "92" "8504" "<" "6307" "2010" "8316" ">" "3097" "675" "3771" ">" "1" "GCF_003238805.1_ASM32388" "GCF_003238805.1" "NZ_PZYA01000022.1" "Staphylococcus_aureus" 16266 "minus" 7950 5000 7762 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"304" "3251" "675" "3925" "<" "-" "-" "-" "-" "-" "-" "-" "-" "3982" "92" "4073" "<" "4170" "2010" "6179" ">" "8835" "306" ">9140" ">" "1" "GCF_003238765.1_ASM32387" "GCF_003238765.1" "NZ_PZSP01000061.1" "Staphylococcus_aureus" 9140 "plus" 4170 4170 3982 3982 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"305" "568234" "675" "568908" "<" "-" "-" "-" "-" "-" "-" "-" "-" "568086" "92" "568177" "<" "565980" "2010" "567989" ">" "562610" "675" "563284" ">" "1" "GCF_003238685.1_ASM32386" "GCF_003238685.1" "NZ_PZXN01000001.1" "Staphylococcus_aureus" 585458 "minus" 17469 5000 17281 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"306" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "35" "92" "126" "<" "223" "2010" "2232" ">" "4888" "675" "5562" ">" "0" "GCF_003238555.1_ASM32385" "GCF_003238555.1" "NZ_PZWW01000009.1" "Staphylococcus_aureus" 99300 "plus" 223 223 35 35 "NT_0-99" 0 0 0 "NT_0-99" "Absent" "NT" "NT"
"307" "4249" "470" ">4718" "<" "-" "-" "-" "-" "-" "-" "-" "-" "4101" "92" "4192" "<" "1995" "2010" "4004" ">" "-" "-" "-" "-" "1" "GCF_002275265.1_ISU-927_v" "GCF_002275265.1" "NZ_LKWX01000103.1" "Staphylococcus_aureus" 4718 "minus" 714 714 526 526 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"308" "<1" "351" "351" "<" "-" "-" "-" "-" "-" "-" "-" "-" "408" "92" "499" "<" "596" "2010" "2605" ">" "5261" "352" ">5612" ">" "1" "GCF_002275225.1_ISU-925_v" "GCF_002275225.1" "NZ_LKWW01000112.1" "Staphylococcus_aureus" 5612 "plus" 596 596 408 408 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"309" "4608" "325" ">4932" "<" "-" "-" "-" "-" "-" "-" "-" "-" "4460" "92" "4551" "<" "2354" "2010" "4363" ">" "-" "-" "-" "-" "1" "GCF_002275205.1_ISU-922_v" "GCF_002275205.1" "NZ_LKWU01000092.1" "Staphylococcus_aureus" 4932 "minus" 569 569 381 381 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"310" "<1" "219" "219" "<" "-" "-" "-" "-" "-" "-" "-" "-" "276" "92" "367" "<" "464" "2010" "2473" ">" "5129" "139" ">5267" ">" "1" "GCF_002275185.1_ISU-914_v" "GCF_002275185.1" "NZ_LKWN01000075.1" "Staphylococcus_aureus" 5267 "plus" 464 464 276 276 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"311" "5484" "675" "6158" "<" "-" "-" "-" "-" "-" "-" "-" "-" "5336" "90" "5425" "<" "3230" "2010" "5239" ">" "<1" "614" "614" ">" "1" "GCF_003237625.1_ASM32376" "GCF_003237625.1" "NZ_PZVO01000002.1" "Staphylococcus_aureus" 249872 "minus" 244633 5000 244447 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"312" "4063" "70" ">4132" "<" "-" "-" "-" "-" "-" "-" "-" "-" "3915" "90" "4004" "<" "1809" "2010" "3818" ">" "-" "-" "-" "-" "1" "GCF_003237615.1_ASM32376" "GCF_003237615.1" "NZ_PZVN01000083.1" "Staphylococcus_aureus" 4132 "minus" 314 314 128 128 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"313" "10275" "675" "10949" "<" "-" "-" "-" "-" "-" "-" "-" "-" "11006" "92" "11097" "<" "11194" "2010" "13203" ">" "15859" "675" "16533" ">" "1" "GCF_003237445.1_ASM32374" "GCF_003237445.1" "NZ_PZUW01000012.1" "Staphylococcus_aureus" 16687 "plus" 11194 5000 11006 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"314" "42502" "675" "43176" "<" "-" "-" "-" "-" "-" "-" "-" "-" "43233" "92" "43324" "<" "43421" "2010" "45430" ">" "48126" "675" "48800" ">" "1" "GCF_003236225.1_ASM32362" "GCF_003236225.1" "NZ_PKSV01000002.1" "Staphylococcus_aureus" 262030 "plus" 43421 5000 43233 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
